country, PIB_FMI_billions,year
United States,26854.6,2023
China,19373.59,[n 1]2023
Japan,4409.74,2023
Germany,4308.85,2023
India,3736.88,2023
United Kingdom,3158.94,2023
France,2923.49,2023
Italy,2169.74,2023
Canada,2089.67,2023
Brazil,2081.24,2023
Russia,2062.65,2023
South Korea,1721.91,2023
Australia,1707.55,2023
Mexico,1663.16,2023
Spain,1492.43,2023
Indonesia,1391.78,2023
Netherlands,1080.88,2023
Saudi Arabia,1061.9,2023
Turkey,1029.3,2023
Switzerland,869.6,2023
Taiwan,790.73,[n 4]2023
Poland,748.89,2023
Argentina,641.1,2023
Belgium,624.25,2023
Sweden,599.05,2023
Ireland,594.1,2023
Thailand,574.23,2023
Norway,554.1,2023
Israel,539.22,2023
Singapore,515.55,2023
Austria,515.2,2023
Nigeria,506.6,2023
United Arab Emirates,498.98,2023
Vietnam,449.09,2023
Malaysia,447.03,2023
Philippines,440.9,2023
Bangladesh,420.52,2023
Denmark,405.63,2023
South Africa,399.02,2023
Hong Kong,382.85,[n 5]2023
Egypt,378.11,2023
Iran,367.97,2023
Chile,358.56,2023
Romania,348.9,2023
Colombia,334.69,2023
Czech Republic,330.48,2023
Finland,301.67,2023
Peru,268.24,2023
Iraq,267.89,2023
Portugal,267.72,2023
New Zealand,251.97,2023
Kazakhstan,245.7,2023
Greece,239.3,2023
Qatar,219.57,2023
Algeria,206.01,2023
Hungary,188.5,2023
Kuwait,164.71,2023
Ethiopia,156.08,2023
Ukraine,148.71,[n 6]2023
Morocco,138.78,2023
Slovakia,127.53,2023
Ecuador,121.29,2023
Dominican Republic,121.29,2023
Puerto Rico,120.84,2023
Kenya,118.13,2023
Angola,117.88,2023
Oman,104.9,2023
Guatemala,102.31,2023
Bulgaria,100.64,2023
Venezuela,96.63,2023
Uzbekistan,92.33,2023
Luxembourg,86.97,2023
Tanzania,85.42,2023
Turkmenistan,82.65,2023
Croatia,78.88,2023
Lithuania,78.35,2023
Costa Rica,77.78,2023
Uruguay,77.31,2023
Panama,77.26,2023
Ivory Coast,77.05,2023
Serbia,73.96,2023
Belarus,73.54,2023
Azerbaijan,70.03,2023
DR Congo,69.47,2023
Slovenia,68.11,2023
Ghana,66.62,2023
Myanmar,63.99,2023
Jordan,52.06,2023
Tunisia,49.82,2023
Uganda,49.79,2023
Cameroon,48.62,2023
Latvia,47.4,2023
Sudan,46.7,2023
Libya,46.3,2023
Bolivia,46.1,2023
Bahrain,44.87,2023
Paraguay,42.82,2023
Nepal,42.1,2023
Estonia,41.55,2023
Macau,35.84,[n 9]2023
El Salvador,33.75,2023
Honduras,32.86,2023
Papua New Guinea,31.36,2023
Senegal,31.22,2023
Cyprus,30.86,[n 10]2023
Cambodia,30.63,2023
Zimbabwe,29.93,2023
Zambia,29.27,2023
Iceland,28.62,2023
Bosnia and Herzegovina,28.49,2023
Trinidad and Tobago,28.22,2023
Georgia,27.95,[n 11]2023
Haiti,26.58,2023
Armenia,23.72,2023
Guinea,23.33,2023
Burkina Faso,21.08,2023
Mali,20.78,2023
Gabon,20.33,2023
Albania,20.18,2023
Mozambique,19.91,2023
Palestine,19.21,[n 12]2023
Botswana,19.57,2023
Yemen,19.53,2023
Malta,19.4,2023
Benin,19.24,2023
Nicaragua,17.29,2023
Jamaica,17.25,2023
Mongolia,16.91,2023
Niger,16.62,2023
Guyana,16.31,2023
Brunei,15.99,2023
Madagascar,15.97,2023
Moldova,15.83,[n 14]2023
North Macedonia,15.28,2023
Equatorial Guinea,15.1,2023
Mauritius,14.57,2023
Bahamas,14.11,2023
Laos,14.09,2023
Namibia,13.49,2023
Rwanda,13.15,2023
Congo,13.03,2023
Tajikistan,12.8,2023
Kyrgyzstan,12.31,2023
Chad,11.96,2023
Malawi,11.28,2023
Mauritania,10.97,2023
Kosovo,9.99,2023
Togo,9.0,2023
Somalia,8.74,2023
Montenegro,7.03,2023
South Sudan,7.01,2023
Maldives,7.0,2023
Barbados,6.12,2023
Fiji,5.38,2023
Eswatini,4.82,2023
Liberia,4.38,2023
Djibouti,3.92,2023
Andorra,3.67,2023
Aruba,3.63,2023
Sierra Leone,3.52,2023
Suriname,3.47,2023
Burundi,3.23,2023
Belize,3.16,2023
Central African Republic,2.74,2023
Bhutan,2.68,2023
Eritrea,2.67,2023
Lesotho,2.58,2023
Cape Verde,2.47,2023
Gambia,2.28,2023
Saint Lucia,2.26,2023
East Timor,1.99,2023
Seychelles,1.95,2023
Guinea-Bissau,1.89,2023
Antigua and Barbuda,1.86,2023
San Marino,1.81,2023
Solomon Islands,1.7,2023
Comoros,1.35,2023
Grenada,1.27,2023
Vanuatu,1.06,2023
Saint Kitts and Nevis,1.05,2023
Saint Vincent and the Grenadines,1.04,2023
Samoa,0.9,2023
Dominica,0.68,2023
São Tomé and Príncipe,0.62,2023
Tonga,0.54,2023
Micronesia,0.46,2023
Marshall Islands,0.29,2023
Palau,0.26,2023
Kiribati,0.25,2023
Nauru,0.15,2023
Tuvalu,0.06,2023
